HOURLY,74,"5,33,40,41,43,48,51,52,53,58,59,60,66,67,72,75,86,87,89,91,99,113,115,120,121,122,123,130,133,148,153,154,185,196,205,207,211,223,224,319,321,341,343,344,346,351,353,355,376,380,382,385,390,391,392,397,408,417,420,452,453,460,466,470,475,481,483,484,493,495,499,517,519,520"
"1"" MINUS",16,"2,6,23,29,83,94,109,146,180,182,188,203,281,395,441,501"
AGLIME,15,"3,56,61,62,71,101,134,151,155,156,158,214,247,348,509"
"1"" CLEAN",11,"7,14,17,25,26,27,34,197,236,396,514"
"1"" BASE",9,"1,16,64,81,98,218,423,430,432"
"1/2"" CLEAN",8,"45,95,179,235,315,437,451,477"
"1/2"" MINUS",8,"13,24,76,194,239,400,465,510"
"2"" MINUS",8,"20,97,246,280,399,431,442,449"
ASPHALT,8,"38,63,116,165,171,485,489,494"
SAND,8,"8,54,85,242,278,290,292,320"
AG LIME,7,"274,289,330,347,492,500,507"
"2"" CLEAN",6,"11,169,184,254,434,496"
"3"" CLEAN",6,"31,104,212,228,405,424"
SHINGLES,6,"4,28,277,300,303,419"
"3"" MINUS",5,"74,111,229,404,486"
"3/4"" CLEAN",5,"78,339,387,393,515"
"3/8"" CLEAN",5,"79,222,394,425,488"
DIRT,5,"93,135,183,210,324"
PEA GRAVEL,5,"106,178,233,438,439"
ROCK,5,"18,139,161,162,163"
MATERIAL,4,"199,200,201,202"
RAP,4,"138,276,299,304"
RED LIME,4,"22,32,322,325"
RIP RAP,4,"44,65,88,295"
TYPE 1/5 BASE,4,"69,147,445,490"
TYPE 5,4,"39,378,412,416"
"1/4"" MINUS",3,"10,406,473"
CONCRETE SAND,3,"21,272,446"
FILL SAND,3,"100,114,251"
LANDSCAPE BLEND,3,"90,118,213"
TOPSOIL,3,"15,84,511"
TYPE 1/5,3,"297,308,491"
"1/2"" M",2,"208,318"
"2 1/2"" BASE",2,"244,436"
"2 1/2"" LATERAL",2,"286,310"
"2"" BASE",2,"110,253"
"6"" CLEAN COM TRAP",2,"193,209"
ASPAHLT,2,"152,219"
ASPAHLT SAND,2,"149,150"
GABION STONE,2,"80,471"
GYPSUM,2,"273,411"
HOURLY MAN SAND,2,"365,369"
HOURLY WORK TIME,2,"271,427"
MASONARY SAND,2,"35,191"
MORTAR SAND,2,"55,164"
OVERSIZE GRAVEL,2,"418,433"
OVERSIZED WASH GRAVEL,2,"36,220"
R400,2,"170,172"
RIP RAP #200,2,"238,505"
RIP RAP #400,2,"174,175"
SCREENINGS,2,"144,338"
TRAP SAND,2,"283,362"
TYPE 5 BASE,2,"386,422"
WASTE CONCRETE,2,"129,314"
